name,type,table,metric,teams,score,rank,str_rank,acc_avg_rank
homesite-quote,binary,single_table,auc,1762.0,0.9691200000000001,0.00739476678043231,13/1758,0.00739476678043231
GiveMeSomeCredit,binary,single_table,auc,924.0,0.8689399999999999,0.008648648648648649,8/925,0.008021707714540478
DontGetKicked,binary,single_table,gini,570.0,0.26075,0.010507880910683012,6/571,0.008850432113254656
safe-driver,binary,single_table,gini,5163.0,0.29056,0.020348837209302327,105/5160,0.011725033387266574
bioresponse,binary,single_table,logloss,699.0,0.37884,0.034334763948497854,24/699,0.016246979499512832
social-network,binary,single_table,auc,132.0,0.87455,0.05185185185185185,7/135,0.022181124891569332
bike-sharing-demand,regression,single_table,rmsle,3251.0,0.3978,0.06367271608735774,207/3251,0.02810849506239625
avazu,binary,single_table,logloss,1604.0,0.39037,0.10037406483790523,161/1604,0.03714169128433487
stumbleupon,binary,single_table,auc,625.0,0.8824,0.12,75/625,0.046348170030519886
springleaf,binary,single_table,auc,2226.0,0.7922,0.13900134952766532,309/2223,0.05561348798023443
restaurant-revenue,regression,single_table,rmse,2257.0,1817374.94185,0.1648205582631812,372/2257,0.06554140346050231
kobe-bryant,binary,single_table,logloss,1117.0,0.60278,0.23008057296329454,257/1117,0.07925300091906834
allstate-claims,regression,single_table,mae,3052.0,1126.93749,0.2971821756225426,907/3052,0.09601678358856636
facebook-recruiting-iv,binary,multi_tables,auc,985.0,0.90945,0.3715736040609137,366/985,0.11569941362230544
house-prices,regression,single_table,rmsle,4470.0,0.12669,0.38232662192393735,1709/4470,0.13347456084241424
kdd-cup-2014,binary,multi_tables,auc,472.0,0.57585,0.41561181434599154,197/474,0.15110813918638782
box-office,regression,single_table,rmsle,1398.0,2.08305,0.43776824034334766,612/1398,0.1679704980779737
west-nile,binary,multi_tables,auc,1306.0,0.7169800000000001,0.4774292272379495,624/1307,0.18516264969797236
tube-pricing,regression,multi_tables,rmsle,1323.0,0.24778000000000003,0.47845804988662133,633/1323,0.20059924970790124
amazon-employee,binary,single_table,auc,1687.0,0.85475,0.5254739336492891,887/1688,0.21684298390497064
dont-overfit,binary,single_table,auc,2330.0,0.77,0.5332182916307161,1236/2318,0.23190847474905374
home-credit,binary,multi_tables,auc,7190.0,0.77772,0.5719058889043576,4108/7183,0.2473629026652039
liberty-mutual,binary,single_table,gini,634.0,0.17294,0.7397476340694006,469/634,0.26877093446538636
taxi-trip,regression,single_table,rmsle,1257.0,0.58354,0.7422434367541766,933/1257,0.288498955394086
elo-merchant,regression,multi_tables,rmse,4127.0,3.72154,0.7453355948630966,3076/4127,0.3067724209728464
mercedes-benz,regression,single_table,r2,3831.0,0.53756,0.7609093284557095,2912/3827,0.32423922510680264
sberbank-russian,regression,multi_tables,rmsle,3274.0,0.34192,0.7730604764813683,2531/3274,0.3408622344169718
santander-customer,binary,single_table,auc,5122.0,0.8259200000000001,0.7741493491664764,6780/8758,0.3563367742294541
ieee,binary,multi_tables,auc,5157.0,0.880006,0.7742848160955674,4926/6362,0.3707487756731132
loan-default,regression,single_table,mae,675.0,1.18555,0.9259259259259259,625/675,0.3892546806815403
