name,type,table,metric,teams,score,rank,str_rank,acc_avg_rank
mercedes-benz,regression,single_table,r2,3831.0,0.55381,0.003919519205644107,15/3827,0.003919519205644107
safe-driver,binary,single_table,gini,5163.0,0.29105,0.0069767441860465115,36/5160,0.0054481316958453095
homesite-quote,binary,single_table,auc,1762.0,0.9691299999999999,0.00739476678043231,13/1758,0.006097010057374309
GiveMeSomeCredit,binary,single_table,auc,924.0,0.8689399999999999,0.008648648648648649,8/925,0.006734919705192894
DontGetKicked,binary,single_table,gini,570.0,0.26103000000000004,0.010507880910683012,6/571,0.007489511946290918
kobe-bryant,binary,single_table,logloss,1117.0,0.5988,0.01432408236347359,16/1117,0.008628607015821363
social-network,binary,single_table,auc,132.0,0.87721,0.022222222222222223,3/135,0.010570552045307201
dont-overfit,binary,single_table,auc,2330.0,0.855,0.02631578947368421,61/2318,0.012538706723854327
bioresponse,binary,single_table,logloss,699.0,0.38059,0.04864091559370529,34/699,0.01655006326494888
amazon-employee,binary,single_table,auc,1687.0,0.90617,0.05390995260663507,91/1688,0.0202860521991175
bike-sharing-demand,regression,single_table,rmsle,3251.0,0.39913000000000004,0.06705629037219317,218/3251,0.02453789203303347
liberty-mutual,binary,single_table,gini,634.0,0.29104,0.07255520504731862,46/634,0.028539334784223897
avazu,binary,single_table,logloss,1604.0,0.3899,0.08728179551122195,140/1604,0.033057985609377595
springleaf,binary,single_table,auc,2226.0,0.7922,0.13900134952766532,309/2223,0.04062536874639815
restaurant-revenue,regression,single_table,rmse,2257.0,1835358.72556,0.2875498449268941,649/2257,0.057087000491764545
allstate-claims,regression,single_table,mae,3052.0,1126.57408,0.29226736566186107,892/3052,0.07178577331489558
stumbleupon,binary,single_table,auc,625.0,0.8817200000000001,0.3344,209/625,0.08723366900225467
facebook-recruiting-iv,binary,multi_tables,auc,985.0,0.91205,0.3380710659898477,333/985,0.10116907994600982
house-prices,regression,single_table,rmsle,4470.0,0.12649000000000002,0.37651006711409396,1683/4470,0.1156607108495932
kdd-cup-2014,binary,multi_tables,auc,472.0,0.57645,0.41561181434599154,197/474,0.13065826602441313
box-office,regression,single_table,rmsle,1398.0,2.0941799999999997,0.449928469241774,629/1398,0.14586160903476364
west-nile,binary,multi_tables,auc,1306.0,0.71114,0.5126243305279266,670/1307,0.1625326418299074
home-credit,binary,multi_tables,auc,7190.0,0.77693,0.5767785048030071,4143/7183,0.18054333152439
sberbank-russian,regression,multi_tables,rmsle,3274.0,0.32985,0.6789859499083689,2223/3274,0.2013117739570558
taxi-trip,regression,single_table,rmsle,1257.0,0.5835899999999999,0.7422434367541766,933/1257,0.2229490404689406
elo-merchant,regression,multi_tables,rmse,4127.0,3.7221800000000003,0.7455779016234553,3077/4127,0.243050150513345
santander-customer,binary,single_table,auc,5122.0,0.8269299999999999,0.773350079926924,6773/8758,0.26269088863977386
ieee,binary,multi_tables,auc,5157.0,0.8748950000000001,0.787959761081421,5013/6362,0.2814504912269755
loan-default,regression,single_table,mae,675.0,1.18767,0.9259259259259259,625/675,0.30367378207866347
