,phisical,status,private_score,public_score,rank,time
name,autoxing,autoxing,autoxing,autoxing,autoxing,autoxing
dataset,,,,,,
kaggle-allstate_claims,hdfs,success,1126.93749,1116.0812,1.0,43064.41450023651
kaggle-amazon_employee,hdfs,success,0.85475,0.86237,51.0,10363.265351295471
kaggle-avazu,hdfs,success,0.39037,0.39249,1.0,18411.18379497528
kaggle-bike_sharing_demand,hdfs,success,,0.3978,1.0,12124.077533245087
kaggle-bio_response,hdfs,success,0.37884,0.41763999999999996,51.0,28916.106429576874
kaggle-box_office,hdfs,success,,2.08305,1.0,3818.992904186249
kaggle-criteo,hdfs,failed,,,,
kaggle-dont_overfit,hdfs,success,0.77,0.782,51.0,30076.438952207565
kaggle-elo_merchant,hdfs,success,3.72154,3.80871,1.0,14426.433653831482
kaggle-facebook_human_robot,hdfs,success,0.90945,0.8814299999999999,51.0,1582.997311592102
kaggle-get_kicked,hdfs,success,0.26075,0.26035,8.0,11836.632311820984
kaggle-give_me,hdfs,success,0.8689399999999999,0.8628100000000001,1.0,5916.724531173706
kaggle-grocery_sales,hdfs,failed,,,,
kaggle-grupo_bimbo,hdfs,failed,,,,
kaggle-home_credit,hdfs,success,0.77772,0.7790699999999999,51.0,39999.014459848404
kaggle-homesite_quote,hdfs,success,0.9691200000000001,0.9694,17.0,170435.36364269257
kaggle-house_prices,hdfs,success,,0.12669,1.0,23673.483713388443
kaggle-how_rain,hdfs,failed,,,,
kaggle-ieee,hdfs,success,0.880006,0.918819,51.0,173087.9949617386
kaggle-kdd_cup_2014,hdfs,success,0.57585,0.59954,51.0,63693.37508249283
kaggle-kobe_bryant,hdfs,success,,0.60278,1.0,7383.674348831177
kaggle-liberty_mutual,hdfs,success,0.17294,0.21806999999999999,51.0,30946.93967795372
kaggle-loan_default,hdfs,success,1.18555,1.21051,1.0,99452.73396205902
kaggle-mercedes_benz,hdfs,success,0.53756,0.54515,51.0,6086.448907375336
kaggle-pubg_finish,hdfs,failed,,,,
kaggle-red_hat,hdfs,failed,,,,
kaggle-restaurant_revenue,hdfs,success,1817374.94185,1773560.1836,1.0,2951.688860654831
kaggle-restaurant_visitor,hdfs,failed,,,,
kaggle-rossmann_store_sales,hdfs,failed,,,,
kaggle-safe_driver,hdfs,success,0.29056,0.28536999999999996,2.0,7338.564964294434
kaggle-santander_customer,hdfs,success,0.8259200000000001,0.83959,51.0,14293.774409770966
kaggle-santander_value,hdfs,failed,,,,
kaggle-sberbank_russian,hdfs,success,0.34192,0.3401,1.0,51366.057836294174
kaggle-social_network,hdfs,success,0.87455,0.86917,2.0,5595.077785491943
kaggle-spring_leaf,hdfs,success,0.7922,0.79772,51.0,92728.95514798164
kaggle-store_sales,hdfs,failed,,,,
kaggle-stumble_upon,hdfs,success,0.8824,0.8793200000000001,51.0,2004.8442451953888
kaggle-talking_data,hdfs,failed,,,,
kaggle-taxi_trip,hdfs,success,0.58354,0.58481,1.0,90508.53242945671
kaggle-tube_pricing,hdfs,success,0.24778000000000003,0.25426,1.0,53652.330756902695
kaggle-walmart_sales,hdfs,failed,,,,
kaggle-west_nile,hdfs,success,0.7169800000000001,0.73215,51.0,2584.8695471286774
